Latitude,Longitude,name,styleUrl,styleHash,styleMapHash,description,ID,FacebookID,Name,Flag,FbURL,TwitterURL,InstaURL,Email,Region,Lat,Lng,gx_media_links
47.918643,10.767288,,,,,,,,,,,,,,,,,
53.536227,-113.47641,269life Alberta - Canada,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/269life-Alberta-Canada-1616364785311935/events/?ref=page_internal,,,,,,,,,,,,
-12.047211,-77.020683,Accion Antiespecista,,,,https://www.facebook.com/accionantiespecista,,,,,,,,,,,,
-33.416828,-70.692215,Acción Vegana,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Acci%C3%B3n-Vegana-829916583834962/events/?ref=page_internal,,,,,,,,,,,,
-23.650528,-70.388249,Acción Vegana Antofagasta,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Acci%C3%B3n-Vegana-Antofagasta-2368833340008471/events/?ref=page_internal,,,,,,,,,,,,
-18.470288,-70.301722,Acción Vegana Arica,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/accionveganaarica/,,,,,,,,,,,,
-20.232654,-70.131811,Acción Vegana Iquique,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/accionveganaiquique/,,,,,,,,,,,,
6.261885,-75.570735,Acción Vegana Medellín,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AccionVeganaMedellin/,,,,,,,,,,,,
12.113575,-86.204457,Acción Vegana Nicaragua,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Acci%C3%B3n-Vegana-Nicaragua-1215797625138518/events/?ref=page_internal,,,,,,,,,,,,
20.599392,-100.389556,Acción Vegana Querétaro,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/accionveganaqueretaro/events/?ref=page_internal,,,,,,,,,,,,
-24.795906,-65.426509,Accion Vegana Salta,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AccionVeganSalta/events/?ref=page_internal,,,,,,,,,,,,
-39.820804,-73.24205,Acción Vegana Valdivia,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AccionVeganaValdivia/,,,,,,,,,,,,
48.513477,9.054344,Act for Animals,,,,"https://www.act-for-animals.de/
https://www.facebook.com/Act.for.Animals.eV
https://www.instagram.com/act.for.animals/",,,,,,,,,,,,
30.245605,-97.718628,Action for Animals Austin,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/ActionForAnimalsAustin/events/?ref=page_internal,,,,,,,,,,,,
38.90466,-77.020512,Active Vegans,,,,https://www.activevegans.org/index.html,,,,,,,,,,,,
59.336867,18.062897,Active Vegans Sweden,,,,https://www.facebook.com/Active-Vegans-Sweden-103171994598544,,,,,,,,,,,,
51.512116,-0.143955,Activism For Life,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/activism4life/events/?ref=page_internal,,,,,,,,,,,,
-34.638966,-58.393442,ACTIVISTAS INDEPENDIENTES POR LA LIBERACIÓN ANIMAL,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/227264437397650/,,,,,,,,,,,,
19.462157,-99.129905,Activistas Independientes por la Liberación Animal México,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/ActivistasIndependientesPorLaLiberacionAnimalMex/events/?ref=page_internal,,,,,,,,,,,,
-0.162218,-78.436718,Activistas por la Defensa y Liberación Animal - ADLA,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/ADLAEcuador/events/?ref=page_internal,,,,,,,,,,,,
51.544307,9.959106,activistsgo,,,,https://www.instagram.com/activistsgo,,,,,,,,,,,,
50.810979,8.77387,akTIERismus e.V.,,,,"https://www.instagram.com/aktierismus_marburg/
https://aktierismus.de/
https://www.facebook.com/akTIERismus",,,,,,,,,,,,
52.512251,13.439627,Aktion Fair Play,,,,https://www.facebook.com/aktionfairplay/events/?ref=page_internal,,,,,,,,,,,,
52.517605,13.441772,Aktion Tierleid zeigen,,,,https://www.facebook.com/tierleid.zeigen/events/?ref=page_internal,,,,,,,,,,,,
49.241656,11.085867,Aktionsgruppe Tierrechte Bayern,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AktionsgruppeTierrechteBayern,,,,,,,,,,,,
54.323382,10.126133,Aktiv für Tierrechte Kiel,,,,https://www.facebook.com/aktivfuertierrechtekiel,,,,,,,,,,,,
50.1122,8.661856,Aktiv gegen Speziesismus,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/agespe.org/events/?ref=page_internal,,,,,,,,,,,,
38.726099,-9.159851,Aliança Animal,,,,https://alianca-animal.org/en/ https://facebook.com/alianca.animal.pt/ https://instagram.com/alianca.animal.pt,,,,,,,,,,,,
41.155652,-8.60281,Aliança Animal,,,,https://alianca-animal.org/en/ https://facebook.com/alianca.animal.pt/ https://instagram.com/alianca.animal.pt,,,,,,,,,,,,
51.066459,3.67933,All For Animals,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AFAallforanimals/events/?ref=page_internal,,,,,,,,,,,,
53.555673,9.969368,Alle Tiere Tierschutz,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AlleTiereTierschutz/?ref=page_internal,,,,,,,,,,,,
41.651623,-0.869637,AMNISTIA ANIMAL,,,,https://www.facebook.com/groups/1070098769713357/,,,,,,,,,,,,
36.83762,-2.468994,Andaluzas por la Liberación Animal,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/andaluzasxlaliberacionanimal/events/?ref=page_internal,,,,,,,,,,,,
55.689681,12.592993,Anima,,,,https://www.facebook.com/dk.anima/,,,,,,,,,,,,
59.924829,10.755615,Anima - Stopp dyremishandling,,,,https://www.facebook.com/AnimaStoppDyremishandling/,,,,,,,,,,,,
-37.748051,144.978333,Animal Activists Australia,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalactivistsaustralia/events/?ref=page_internal,,,,,,,,,,,,
-31.900069,116.027508,Animal Activists WA,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/1525435464256075/,,,,,,,,,,,,
34.001889,-117.695752,Animal Alliance Network,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalalliancenetwork/events/?ref=page_internal,,,,,,,,,,,,
32.769955,-97.007217,Animal Connection of Texas,,,,https://www.facebook.com/groups/ntxva/,,,,,,,,,,,,
52.519618,13.36825,Animal Equality in Berlin,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/476853739024335/,,,,,,,,,,,,
19.466812,75.70947,Animal Equality India,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalEqualityIndia/?ref=page_internal,,,,,,,,,,,,
37.797409,-122.246933,Animal Ethics,,,,"https://www.animal-ethics.org/
https://www.facebook.com/Animal-Ethics-1424658461139957/events/?ref=page_internal",,,,,,,,,,,,
52.476151,-1.885722,Animal Freedom,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalFreedom/events/?ref=page_internal,,,,,,,,,,,,
27.672583,-81.45813,Animal Hero Kids ,,,,https://www.facebook.com/animalherokids https://www.instagram.com/animalherokids/?hl=en https://www.linkedin.com/in/susanhargreavesveganeducatorauthor?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,,,,,,,,,,,,
37.086469,-113.583771,Animal Justice League of St. George,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AJLSG/,,,,,,,,,,,,
-32.919728,151.761961,Animal Justice Party Newcastle-Hunter NSW,,,,https://www.facebook.com/AJPNHV/,,,,,,,,,,,,
-33.882245,151.236076,Animal Liberation,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalLiberationORG/events/?ref=page_internal,,,,,,,,,,,,
41.482427,-81.697963,Animal Liberation Cleveland,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/alccle/events/?ref=page_internal,,,,,,,,,,,,
50.72885,7.102661,Animal Liberation Community Bonn,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalRightsNetworkBonn/events/?ref=page_internal,,,,,,,,,,,,
51.345862,12.378643,Animal Liberation Leipzig,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalLiberationMarchLeipzig/?ref=page_internal,,,,,,,,,,,,
35.906988,14.414063,Animal Liberation Malta,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animal.liberation.malta/,,,,,,,,,,,,
35.883405,14.407488,Animal Liberation Malta Group,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/455208221620592/,,,,,,,,,,,,
18.504589,73.842711,Animal Liberation March India,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalLiberationMarchIndia/events/?ref=page_internal,,,,,,,,,,,,
27.716342,85.322933,Animal Liberation Movement,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalLiberationMovementNepal/events/?ref=page_internal,,,,,,,,,,,,
-33.397572,151.358622,Animal Liberation NSW Central Coast,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalLiberationNSWCC/events/?ref=page_internal,,,,,,,,,,,,
-32.944856,151.761604,Animal Liberation NSW Newcastle,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalLiberationNSWNcle/events/?ref=page_internal,,,,,,,,,,,,
26.511133,127.961884,Animal Liberation Okinawa,,,,https://instagram.com/animal_liberation_okinawa?igshid=NzZlODBkYWE4Ng==,,,,,,,,,,,,
-20.949213,145.581174,Animal Liberation Queensland,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalliberationqld/,,,,,,,,,,,,
-27.504922,153.067532,Animal Liberation Queensland,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalliberationqld/events/?ref=page_internal,,,,,,,,,,,,
55.610909,-4.500002,Animal Liberation Scotland,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Animal-Liberation-Scotland-156639494706209/events/?ref=page_internal,,,,,,,,,,,,
-34.937438,138.564313,Animal Liberation South Australia,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Animal-Liberation-South-Australia-395968250480125/events/?ref=page_internal,,,,,,,,,,,,
-42.879886,147.326839,Animal Liberation Tasmania,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalliberationtasmania/events/?ref=page_internal,,,,,,,,,,,,
49.76158,6.640877,Animal Liberation Trier,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalliberationtrier/events/?ref=page_internal,,,,,,,,,,,,
49.742148,6.637947,Animal Liberation Trier - Orga,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/1895281294065510/,,,,,,,,,,,,
-37.814758,145.044087,Animal Liberation Victoria,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalliberationvictoria/events/?ref=page_internal,,,,,,,,,,,,
52.381609,9.732036,Animal Rights Action,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalRightsAction/events/?ref=page_internal,,,,,,,,,,,,
-33.881247,151.171017,Animal Rights Activism Sydney,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalrightsactivismsydney/,,,,,,,,,,,,
-34.873009,149.139861,Animal Rights Activists Australia,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/AnimalRightsActivistsAustralia/,,,,,,,,,,,,
41.820913,-88.097644,Animal Rights Activists of DuPage County,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/dupageactivists/,,,,,,,,,,,,
-37.786874,145.143638,Animal Rights Activists Victoria,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/groups/1310817449008089/,,,,,,,,,,,,
50.852017,4.309902,Animal Rights België - Belgique,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalrights.VZW/events/?ref=page_internal,,,,,,,,,,,,
50.831312,4.309559,Animal Rights Belgium,,,,https://www.animalrights.be/weg-met-bont/nertsen-in-belgie?fbclid=IwAR0ZIXerSJXTivHghNB3IB5VvLbBBiY7bRLbEOnRm8mOm5bMI3aRe4UWTzA,,,,,,,,,,,,
35.662701,139.698071,Animal Rights Center Japan,,,,https://www.facebook.com/AnimalRightsCenter,,,,,,,,,,,,
35.701917,139.769955,Animal Rights Center Japan,,,,https://www.instagram.com/animalrightscenter/,,,,,,,,,,,,
37.876208,-122.261009,Animal Rights Centre (ARC),,,,https://www.berkeleyarc.com/,,,,,,,,,,,,
44.979371,-93.262081,Animal Rights Coalition,,,,http://animalrightscoalition.com/,,,,,,,,,,,,
45.516452,-122.699432,Animal Rights Collective Portland,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/arcportland/events/?ref=page_internal,,,,,,,,,,,,
-1.656816,29.194965,Animal rights DRC,,,,https://instagram.com/fffgomagroup?igshid=NTc4MTIwNjQ2YQ==,,,,,,,,,,,,
21.306339,-157.858032,Animal Rights Hawai'i,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalRightsHawaii/events/?ref=page_internal,,,,,,,,,,,,
51.291337,0.523815,Animal Rights in Kent,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/Animal-Rights-in-Kent-135839559769643/events/?ref=page_internal,,,,,,,,,,,,
